metric,value
baseline_logreg_brier,0.21220411510129453
baseline_logreg_f1,0.43706244480565193
baseline_logreg_n,263980.0
baseline_logreg_positive_rate,0.21764527615728466
baseline_logreg_pr_auc,0.3720193047121432
baseline_logreg_precision,0.34559567663846497
baseline_logreg_precision_at_1pct,0.5306818181818181
baseline_logreg_recall,0.5943711490931876
baseline_logreg_recall_at_1pct_fpr,0.04048456156229331
baseline_logreg_roc_auc,0.6988930655414423
baseline_logreg_score_std,0.17234949286069204
baseline_prior_brier,0.17113697346531873
baseline_prior_f1,0.0
baseline_prior_n,263980.0
baseline_prior_positive_rate,0.21764527615728466
baseline_prior_pr_auc,0.21764527615728466
baseline_prior_precision,0.0
baseline_prior_precision_at_1pct,0.23522727272727273
baseline_prior_recall,0.0
baseline_prior_recall_at_1pct_fpr,0.0
baseline_prior_roc_auc,0.5
baseline_prior_score_std,0.0
n_features,32.0
test_brier,0.15507192989946347
test_f1,0.15590108100103658
test_n,263980.0
test_positive_rate,0.21764527615728466
test_pr_auc,0.39347984405877384
test_pr_auc_baseline,0.3720193047121432
test_pr_auc_delta,0.02146053934663067
test_precision,0.5224295355299722
test_precision_at_1pct,0.5806818181818182
test_recall,0.09162112298534479
test_recall_at_1pct_fpr,0.045653914435896545
test_roc_auc,0.7160029581232851
test_score_std,0.13313520935988216
training_time_seconds,49.2
